Date,Open,High,Low,Close*,
"Dec 06, 2023",453.9,464.5,452.1,463.25,
"Dec 05, 2023",455,457.8,450.1,451.75,
"Dec 04, 2023",455,456.4,451,454.05,
"Dec 01, 2023",437.9,450.95,437.4,449.8,
"Nov 30, 2023",436.7,438.45,434.5,435.8,
"Nov 29, 2023",436,438.5,434.15,437.2,
"Nov 28, 2023",438,439,434.9,435.25,
"Nov 24, 2023",441,442.25,436.85,437.8,
"Nov 23, 2023",440.95,442.25,438.25,440.35,
"Nov 22, 2023",437,440.4,434.8,439.7,
"Nov 21, 2023",437.15,439.3,435.5,436.25,
"Nov 20, 2023",439.85,440.3,434.5,436.8,
"Nov 17, 2023",439.25,441.5,438.3,439.25,
"Nov 16, 2023",441.95,444.5,437.6,438.65,
"Nov 15, 2023",438.1,442.5,437.5,441.95,
"Nov 13, 2023",438.4,438.4,435,436,
"Nov 10, 2023",434.4,438,432.5,436.55,
"Nov 09, 2023",437.8,438,433.9,434.4,
"Nov 08, 2023",433.15,437.5,432.3,436.95,
"Nov 07, 2023",434.9,434.9,432.15,432.7,
"Nov 06, 2023",433.5,436.8,432.55,435.35,
"Nov 03, 2023",432.8,434.4,431.1,433.25,
"Nov 02, 2023",430.05,432.7,428.65,431.15,
"Nov 01, 2023",430,431.1,425.5,428.1,
"Oct 31, 2023",430,433.35,427.9,428.4,
"Oct 30, 2023",434.55,437.15,428.35,430.45,
"Oct 27, 2023",434.35,436.8,432.2,433.75,
"Oct 26, 2023",429.55,436.6,429.55,434.35,
"Oct 25, 2023",436.9,438,427.05,432.7,
"Oct 23, 2023",438,439.95,433.1,435.9,
"Oct 20, 2023",445,449,437.35,438.3,
"Oct 19, 2023",449.75,454.9,446.85,450.4,
"Oct 18, 2023",454.25,458.2,451,451.65,
"Oct 17, 2023",449.8,454.5,449,453.45,
"Oct 16, 2023",448,451,446.2,448.95,
"Oct 13, 2023",449.85,451.8,447,448.35,
"Oct 12, 2023",449.65,452.5,446.15,450.7,
"Oct 11, 2023",447.2,449.45,444.8,448.25,
"Oct 10, 2023",440.45,444.85,440.45,444.4,
"Oct 09, 2023",440.95,443.2,437.25,440.45,
"Oct 06, 2023",437.85,443.6,436.65,442.15,
"Oct 05, 2023",440,440.5,435.05,436.05,
"Oct 04, 2023",439.75,441.7,433.3,436.1,
"Oct 03, 2023",441,442.9,439.25,439.75,
"Sep 29, 2023",442,445.6,439.2,444.4,
"Sep 28, 2023",449.95,449.95,439.6,440.75,
"Sep 27, 2023",442.45,449.8,438.8,449.15,
"Sep 26, 2023",443.6,444.5,439.7,442.45,
"Sep 25, 2023",443.1,444.8,438.35,442.6,
"Sep 22, 2023",447.5,448.4,442.25,443.1,
"Sep 21, 2023",452.8,453.55,444.5,447.5,
"Sep 20, 2023",451.7,455.1,449.55,452.95,
"Sep 18, 2023",448.35,454,446.2,452.05,
"Sep 15, 2023",448.05,452.1,447,448.35,
"Sep 14, 2023",455.9,455.9,447.15,449.95,
"Sep 13, 2023",452.2,457,451.1,453.5,
"Sep 12, 2023",448.9,454.3,445.6,451.15,
"Sep 11, 2023",446,448.1,442.65,447.2,
"Sep 08, 2023",447.9,447.9,441.85,442.65,
"Sep 07, 2023",448.8,449,444.6,445.9,
"Sep 06, 2023",443.95,448.5,442,447.45,
"Sep 05, 2023",438.9,444.5,438.5,443.1,
"Sep 04, 2023",443.35,443.35,436.65,437.5,
"Sep 01, 2023",440,445,438.3,441.05,
"Aug 31, 2023",443,444.9,436.1,439.7,
"Aug 30, 2023",441,444,440.5,442.8,
"Aug 29, 2023",442.95,444,439.2,440.1,
"Aug 28, 2023",445,446.85,441,441.4,
"Aug 25, 2023",450.9,451,442.05,443.35,
"Aug 24, 2023",450.6,453.5,449.3,450.9,
"Aug 23, 2023",455.6,455.65,448.6,450.45,
"Aug 22, 2023",449,455.15,447,454.25,
"Aug 21, 2023",442,448.5,441.35,447.8,
"Aug 18, 2023",441,443.35,438.5,441.65,
"Aug 17, 2023",450,450,440,441,
"Aug 16, 2023",451,457.4,448.2,450.25,
